PLAYERPLAYER,ABAB,BBBB,SOSO,SBSB,CSCS,AVGAVG,BBBB/(ABAB+BBBB),SOSO/(ABAB+BBBB),(SBSB+CSCS)/(ABAB+BBBB),SBSB/(SBSB+CSCS),__sheet__
905DaveD DuncanDuncanC905???,2885,252,677,5,14,0.214,0.080331527,0.215811285,0.006056742,0.263157895,Sheet1
905AaronA HicksHicksCF905???,3135,461,793,71,26,0.231,0.128197998,0.220522803,0.026974416,0.731958763,Sheet1
905EricE ByrnesByrnesLF905???,3202,253,538,129,23,0.258,0.073227207,0.155716353,0.043994211,0.848684211,Sheet1
905JackieJ BradleyBradleyCF905???,3735,361,1066,69,18,0.225,0.088134766,0.260253906,0.021240234,0.793103448,Sheet1
905PhilP GarnerGarner2B905???,6136,564,842,225,105,0.26,0.084179104,0.125671642,0.049253731,0.681818182,Sheet1
905FreddyF GalvisGalvisSS905???,3921,241,853,57,21,0.246,0.057904853,0.204949543,0.01874099,0.730769231,Sheet1
905DelmonD YoungYoungLF905???,4108,179,784,36,21,0.283,0.04175414,0.18287847,0.013296011,0.631578947,Sheet1
905BrandonB DruryDrury3B905???,2915,188,718,5,8,0.245,0.060586529,0.231388978,0.004189494,0.384615385,Sheet1
905ChrisC TaylorTaylorCF905???,3424,366,1131,90,23,0.249,0.096569921,0.298416887,0.029815303,0.796460177,Sheet1
905BoB BichetteBichetteSS905???,3039,182,633,60,21,0.293,0.056504191,0.196522819,0.02514747,0.740740741,Sheet1
915RonR NortheyNortheyRF915???,3172,361,297,7,0,0.276,0.102179451,0.084064534,0.001981319,1,Sheet1
915AlA CowensCowensRF915???,5534,389,659,120,75,0.27,0.065676178,0.111261185,0.032922505,0.615384615,Sheet1
915FranmilF ReyesReyesLF915???,1881,172,635,6,2,0.249,0.083779834,0.309303458,0.003896736,0.75,Sheet1
915SheaS HillenbrandHillenbrand3B915???,3570,140,464,16,12,0.284,0.037735849,0.125067385,0.00754717,0.571428571,Sheet1
915GaryG MatthewsMatthewsCF915???,4103,454,849,95,36,0.257,0.099626948,0.186306781,0.028746983,0.72519084,Sheet1
915ShaneS VictorinoVictorinoCF915???,4630,381,626,231,46,0.275,0.076032728,0.124925165,0.055278388,0.833935018,Sheet1
915JonathanJ LucroyLucroyC915???,4140,369,662,30,9,0.274,0.081836327,0.146817476,0.008649368,0.769230769,Sheet1
915JamesJ LoneyLoney1B915???,5023,397,652,38,21,0.284,0.073247232,0.120295203,0.010885609,0.644067797,Sheet1
915GeovanyG SotoSotoC915???,2522,311,673,3,5,0.245,0.109777621,0.23755736,0.002823862,0.375,Sheet1
915JackJ HowellHowell3B915???,2639,300,626,14,15,0.239,0.102075536,0.212997618,0.009867302,0.482758621,Sheet1
915CarmeloC MartinezMartinezLF915???,2906,404,528,10,16,0.245,0.122054381,0.159516616,0.007854985,0.384615385,Sheet1
