PLAYERPLAYER,G,AB,R ,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,,,,
11001DellinD BetancesBetancesP11001???,350,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,#DIV/0!
11001VinV MazzaroMazzaroP11001???,140,18,0,3,0,0,0,1,0,11,0,0,0.167,0.167,0.167,0.334,0,0.611111111,0,#DIV/0!
11001AdamA WarrenWarrenP11001???,322,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0.666666667,0,#DIV/0!
11001RobertR StockStockP11001???,45,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.5,0,#DIV/0!
11001ErnieE BroglioBroglioP11001???,259,431,29,68,10,0,0,24,24,121,0,0,0.158,0.201,0.181,0.382,0.0527472527,0.265934066,0,#DIV/0!
11001KenK BrondellBrondellP11001???,8,4,1,0,0,0,0,0,0,2,0,--,0,0,0,0,0,0.5,#VALUE!,#VALUE!
11001JeffJ BronkeyBronkeyP11001???,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!
11001JimJ BronstadBronstadP11001???,47,17,0,0,0,0,0,0,0,10,0,0,0,0.056,0,0.056,0,0.588235294,0,#DIV/0!
11001FredF MauerMauerP11001???,1,1,0,0,0,0,0,0,0,,0,--,0,0,0,0,0,0,#VALUE!,#VALUE!
11001SigS BroskieBroskieC11001???,11,22,1,6,1,0,0,4,1,2,0,--,0.273,0.304,0.318,0.622,0.0434782609,0.0869565217,#VALUE!,#VALUE!
11001TerryT BrossBrossP11001???,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11001FrankF BrosseauBrosseauP11001???,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11001TonyT BrottemBrottemC11001???,61,135,10,29,3,0,0,13,9,22,1,1,0.215,0.264,0.237,0.501,0.0625,0.152777778,0.0138888889,0.5
11001CalC BroughtonBroughtonC11001???,40,143,10,27,6,0,0,3,4,2,0,--,0.189,0.211,0.231,0.442,0.0272108844,0.0136054422,#VALUE!,#VALUE!
11001ArtA BrouthersBrouthers3B11001???,37,144,18,30,5,1,0,14,5,,4,--,0.208,0.24,0.257,0.497,0.033557047,0,#VALUE!,#VALUE!
11001JoeJ BroviaBroviaPH11001???,21,18,0,2,0,0,0,4,1,6,0,0,0.111,0.15,0.111,0.261,0.0526315789,0.315789474,0,#DIV/0!
11001ScottS BrowBrowP11001???,17,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,#DIV/0!
11001LouisL BrowerBrowerSS11001???,21,62,3,10,1,0,0,6,8,5,1,0,0.161,0.278,0.177,0.455,0.114285714,0.0714285714,0.0142857143,1
11001AltonA BrownBrownP11001???,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!
11001CharlieC BrownBrownP11001???,4,11,1,3,1,0,0,1,0,,0,--,0.273,0.273,0.364,0.637,0,0,#VALUE!,#VALUE!
11001CurlyC BrownBrownP11001???,31,49,3,11,1,1,0,2,0,2,0,--,0.224,0.224,0.286,0.51,0,0.0408163265,#VALUE!,#VALUE!
11001CurtisC BrownBrownLF11001???,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!
11001CurtC BrownBrownP11001???,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!
11001DelosD BrownBrownPH11001???,1,1,0,0,0,0,0,0,0,1,0,--,0,0,0,0,0,1,#VALUE!,#VALUE!
11001EdE BrownBrown3B11001???,59,213,17,38,3,0,0,--,6,,--,--,0.178,0.201,0.192,0.393,0.0273972603,0,#VALUE!,#VALUE!
11001RandyR BrownBrownC11001???,18,29,3,4,1,0,0,0,6,1,0,0,0.138,0.286,0.172,0.458,0.171428571,0.0285714286,0,#DIV/0!
11001ElmerE BrownBrownP11001???,43,60,3,8,1,1,0,4,1,9,0,--,0.133,0.148,0.183,0.331,0.0163934426,0.147540984,#VALUE!,#VALUE!
11001FredF BrownBrownRF11001???,9,20,2,4,1,0,0,2,0,,0,--,0.2,0.2,0.25,0.45,0,0,#VALUE!,#VALUE!
11001JackieJ BrownBrownP11001???,105,84,4,11,0,0,0,2,1,39,0,0,0.131,0.141,0.131,0.272,0.0117647059,0.458823529,0,#DIV/0!
11001JakeJ BrownBrownLF11001???,41,43,6,9,3,0,0,4,5,13,0,0,0.209,0.292,0.279,0.571,0.104166667,0.270833333,0,#DIV/0!
11001JohnJ BrownBrownP11001???,1,2,0,1,0,0,0,0,0,,0,--,0.5,0.5,0.5,1,0,0,#VALUE!,#VALUE!
11001LindsayL BrownBrownSS11001???,48,115,16,31,3,1,0,6,3,17,1,--,0.27,0.288,0.313,0.601,0.0254237288,0.144067797,#VALUE!,#VALUE!
11001JopheryJ BrownBrownP11001???,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11001JoeJ BrownBrownP11001???,20,80,8,16,1,0,0,3,0,15,--,--,0.2,0.2,0.213,0.413,0,0.1875,#VALUE!,#VALUE!
11001JoeJ BrownBrownP11001???,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11001KeithK BrownBrownP11001???,25,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0.666666667,0,#DIV/0!
11001KevinK BrownBrownP11001???,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11001LeonL BrownBrownCF11001???,64,70,11,15,3,0,0,2,4,4,2,4,0.214,0.257,0.257,0.514,0.0540540541,0.0540540541,0.0810810811,0.333333333
11001MaceM BrownBrownP11001???,387,313,24,43,7,0,0,18,12,64,0,0,0.137,0.172,0.16,0.332,0.0369230769,0.196923077,0,#DIV/0!
11001MartyM BrownBrown3B11001???,35,61,3,11,2,0,0,6,6,18,0,1,0.18,0.25,0.213,0.463,0.0895522388,0.268656716,0.0149253731,0
11001MyrlM BrownBrownP11001???,7,11,1,3,0,0,0,3,2,2,0,0,0.273,0.385,0.273,0.658,0.153846154,0.153846154,0,#DIV/0!
11001NormN BrownBrownP11001???,5,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.333333333,0,#DIV/0!
11001PaulP BrownBrownP11001???,36,17,1,4,1,0,0,0,1,6,0,0,0.235,0.278,0.294,0.572,0.0555555556,0.333333333,0,#DIV/0!
11001RayR BrownBrownP11001???,1,3,0,0,0,0,0,1,0,,0,--,0,0,0,0,0,0,#VALUE!,#VALUE!
11001StubS BrownBrownP11001???,13,33,4,3,0,0,0,2,0,6,1,--,0.091,0.091,0.091,0.182,0,0.181818182,#VALUE!,#VALUE!
11001BobB BrownBrownP11001???,81,115,6,21,1,0,0,6,4,24,0,--,0.183,0.21,0.191,0.401,0.0336134454,0.201680672,#VALUE!,#VALUE!
11001SamS BrownBrownC11001???,140,439,29,88,12,1,0,34,25,,4,--,0.2,0.256,0.232,0.488,0.0538793103,0,#VALUE!,#VALUE!
11001ScottS BrownBrownP11001???,10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,#DIV/0!
11001JumboJ BrownBrownP11001???,249,157,13,32,5,1,0,11,8,40,0,0,0.204,0.242,0.248,0.49,0.0484848485,0.242424242,0,#DIV/0!
11001WalterW BrownBrownP11001???,19,11,0,0,0,0,0,0,2,4,0,0,0,0.154,0,0.154,0.153846154,0.307692308,0,#DIV/0!
11001BillB BrownBrownLF11001???,9,20,0,4,0,0,0,1,0,,0,--,0.2,0.2,0.2,0.4,0,0,#VALUE!,#VALUE!
11001CalC BrowningBrowningP11001???,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11001FrankF BrowningBrowningP11001???,11,14,0,0,0,0,0,0,1,,0,--,0,0.067,0,0.067,0.0666666667,0,#VALUE!,#VALUE!
11001BruceB BrubakerBrubakerP11001???,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11001LouL BruceBruceLF11001???,30,101,9,27,3,0,0,8,5,,2,--,0.267,0.302,0.297,0.599,0.0471698113,0,#VALUE!,#VALUE!
11001BobB BruceBruceP11001???,223,346,25,52,7,1,0,17,28,102,0,0,0.15,0.22,0.176,0.396,0.0748663102,0.272727273,0,#DIV/0!
11001FredF BruckbauerBruckbauerP11001???,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11001EarleE BruckerBruckerC11001???,2,6,0,1,1,0,0,0,1,1,0,0,0.167,0.286,0.333,0.619,0.142857143,0.142857143,0,#DIV/0!
11001AndyA BruckmillerBruckmillerP11001???,1,1,0,0,0,0,0,0,0,,0,--,0,0,0,0,0,0,#VALUE!,#VALUE!
11001J.T.J BruettBruettRF11001???,73,96,9,24,6,0,0,3,7,16,6,3,0.25,0.314,0.313,0.627,0.067961165,0.155339806,0.0873786408,0.666666667
11001MikeM BruhertBruhertP11001???,27,40,0,3,0,0,0,0,0,21,0,0,0.075,0.075,0.075,0.15,0,0.525,0,#DIV/0!
11001GregG BrummettBrummettP11001???,8,15,0,0,0,0,0,0,1,5,0,0,0,0.063,0,0.063,0.0625,0.3125,0,#DIV/0!
11001JackJ BrunerBrunerP11001???,26,11,0,0,0,0,0,0,2,6,0,0,0,0.154,0,0.154,0.153846154,0.461538462,0,#DIV/0!
11001RoyR BrunerBrunerP11001???,19,17,2,2,0,0,0,0,1,5,0,--,0.118,0.167,0.118,0.285,0.0555555556,0.277777778,#VALUE!,#VALUE!
11001TomT BrunoBrunoP11001???,45,17,0,2,0,0,0,0,0,5,0,0,0.118,0.118,0.118,0.236,0,0.294117647,0,#DIV/0!
11001ArloA BrunsbergBrunsbergC11001???,2,3,1,1,1,0,0,0,0,0,0,0,0.333,0.5,0.667,1.167,0,0,0,#DIV/0!
11001BobB BrushBrush1B11001???,2,2,0,0,0,0,0,0,0,,0,--,0,0,0,0,0,0,#VALUE!,#VALUE!
11001JimJ BruskeBruskeP11001???,103,10,0,1,1,0,0,0,0,2,0,0,0.1,0.1,0.2,0.3,0,0.2,0,#DIV/0!
11001WarrenW BrusstarBrusstarP11001???,330,32,1,3,1,0,0,1,3,18,0,0,0.094,0.171,0.125,0.296,0.0857142857,0.514285714,0,#DIV/0!
11001EdE BruyetteBruyetteCF11001???,26,82,7,15,3,0,0,4,12,,1,--,0.183,0.295,0.22,0.515,0.127659574,0,#VALUE!,#VALUE!
11001DerekD BryantBryantLF11001???,39,106,8,19,2,1,0,13,10,10,0,0,0.179,0.246,0.217,0.463,0.0862068966,0.0862068966,0,#DIV/0!
11001GeorgeG BryantBryant2B11001???,1,4,0,0,0,0,0,1,0,2,--,--,0,--,0,--,0,0.5,#VALUE!,#VALUE!
11001RonR BryantBryantP11001???,206,291,27,48,4,0,0,20,17,89,0,0,0.165,0.21,0.179,0.389,0.0551948052,0.288961039,0,#DIV/0!
11001TodT BrynanBrynanP11001???,4,11,1,2,0,1,0,1,0,3,0,--,0.182,0.182,0.364,0.546,0,0.272727273,#VALUE!,#VALUE!
11001HalH BubserBubserPH11001???,3,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.666666667,0,#DIV/0!
11001JimJ BuchananBuchananP11001???,22,46,5,7,1,0,0,1,5,,1,--,0.152,0.235,0.174,0.409,0.0980392157,0,#VALUE!,#VALUE!
11001BobB BuchananBuchananP11001???,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!
11001GaryG BuckelsBuckelsP11001???,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!
11001FredF BuckinghamBuckinghamP11001???,1,1,0,0,0,0,0,0,0,1,0,--,0,0,0,0,0,1,#VALUE!,#VALUE!
11001YoervisY MedinaMedinaP11001???,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11001JCJ Ram?rezRam?rezP11001???,134,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.25,0,#DIV/0!
11001DayanD D?azD?azP11001???,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11001JoseJ QuintanaQuintanaP11001???,283,156,4,12,1,0,0,7,3,84,0,0,0.077,0.094,0.083,0.177,0.0188679245,0.528301887,0,#DIV/0!
11001GregoryG InfanteInfanteP11001???,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11001BrayanB VillarrealVillarrealP11001???,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11001MauricioM RoblesRoblesP11001???,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11001AlbertoA CabreraCabreraP11001???,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11001RafaelR YnoaYnoa3B11001???,94,199,19,56,14,2,0,22,7,39,1,0,0.281,0.306,0.372,0.678,0.0339805825,0.189320388,0.00485436893,1
11001MichaelM PinedaPinedaP11001???,152,18,0,2,0,0,0,0,0,8,0,0,0.111,0.111,0.111,0.222,0,0.444444444,0,#DIV/0!
11001JorgeJ De LeonDe LeonP11001???,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11001SimonS CastroCastroP11001???,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11001LuisL Avil?nAvil?nP11001???,448,7,0,1,0,0,0,0,0,2,0,0,0.143,0.143,0.143,0.286,0,0.285714286,0,#DIV/0!
11001JoseJ AlvarezAlvarezP11001???,447,4,1,0,0,0,0,0,3,2,0,0,0,0.429,0,0.429,0.428571429,0.285714286,0,#DIV/0!
11001PedroP ViolaViolaP11001???,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11001LuisL MarteMarteP11001???,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!
11001JhanJ Mari?ezMari?ezP11001???,86,9,0,1,1,0,0,0,0,5,0,0,0.111,0.111,0.222,0.333,0,0.555555556,0,#DIV/0!
11001JuanJ DiazDiazSS11001???,5,15,4,4,0,0,0,0,1,5,0,0,0.267,0.353,0.267,0.62,0.0625,0.3125,0,#DIV/0!
11001WillW HarrisHarrisP11001???,427,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,#DIV/0!
11001BrianB BocockBocockSS11001???,38,82,6,11,1,0,0,2,12,32,4,2,0.134,0.245,0.146,0.391,0.127659574,0.340425532,0.0638297872,0.666666667
11001TonyT BarnetteBarnetteP11001???,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11001ChrisC HatcherHatcherP11001???,256,12,0,1,0,0,0,1,2,6,0,0,0.083,0.214,0.083,0.297,0.142857143,0.428571429,0,#DIV/0!
11001ClayC ZavadaZavadaP11001???,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11001KevinK RussoRusso3B11001???,31,49,5,9,2,0,0,4,3,9,1,0,0.184,0.245,0.224,0.469,0.0576923077,0.173076923,0.0192307692,1
11001BruceB BillingsBillingsP11001???,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11001SandyS BurkBurkP11001???,50,67,2,6,1,0,0,0,1,26,0,--,0.09,0.103,0.104,0.207,0.0147058824,0.382352941,#VALUE!,#VALUE!
11001MackM BurkBurkC11001???,16,2,3,1,0,0,0,0,0,1,0,0,0.5,0.5,0.5,1,0,0.5,0,#DIV/0!
11001ChaunceyC BurkamBurkamPH11001???,1,1,0,0,0,0,0,0,0,1,0,--,0,0,0,0,0,1,#VALUE!,#VALUE!
11001ElmerE BurkartBurkartP11001???,16,12,2,1,1,0,0,1,0,6,0,--,0.083,0.083,0.167,0.25,0,0.5,#VALUE!,#VALUE!
11001DanD BurkeBurkeCF11001???,42,126,15,22,1,0,0,9,22,2,2,--,0.175,0.307,0.183,0.49,0.148648649,0.0135135135,#VALUE!,#VALUE!
11001FrankF BurkeBurkeLF11001???,52,138,8,26,1,2,0,9,12,,4,--,0.188,0.253,0.225,0.478,0.08,0,#VALUE!,#VALUE!
11001JamesJ BurkeBurkeP11001???,49,193,21,42,8,3,0,1,6,4,--,--,0.218,--,0.29,--,0.0301507538,0.0201005025,#VALUE!,#VALUE!
11001JohnJ BurkeBurkeP11001???,29,21,1,4,0,0,0,1,0,6,0,0,0.19,0.19,0.19,0.38,0,0.285714286,0,#DIV/0!
11001JohnJ BurkeBurkeP11001???,4,13,0,2,0,0,0,0,0,,0,--,0.154,0.154,0.154,0.308,0,0,#VALUE!,#VALUE!
11001JoeJ BurkeBurke3B11001???,3,10,3,5,0,0,0,3,1,2,0,--,0.5,0.583,0.5,1.083,0.0909090909,0.181818182,#VALUE!,#VALUE!
11001LesL BurkeBurke2B11001???,195,506,73,131,17,7,0,47,46,32,7,7,0.259,0.327,0.32,0.647,0.0833333333,0.0579710145,0.0253623188,0.5
11001MikeM BurkeBurkeSS11001???,28,117,13,26,3,0,0,8,2,5,--,--,0.222,--,0.248,--,0.0168067227,0.0420168067,#VALUE!,#VALUE!
11001PatP BurkeBurke3B11001???,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!
11001BobbyB BurkeBurkeP11001???,260,278,24,54,7,2,0,21,11,42,0,0,0.194,0.225,0.234,0.459,0.0380622837,0.14532872,0,#DIV/0!
11001TimT BurkeBurkeP11001???,475,44,1,2,0,0,0,1,4,24,0,0,0.045,0.125,0.045,0.17,0.0833333333,0.5,0,#DIV/0!
11001BillyB BurkeBurkeP11001???,22,22,1,5,1,0,0,1,0,8,0,--,0.227,0.227,0.273,0.5,0,0.363636364,#VALUE!,#VALUE!
11001WilliamW BurkeBurkeP11001???,2,8,1,2,0,0,0,1,0,1,0,--,0.25,0.25,0.25,0.5,0,0.125,#VALUE!,#VALUE!
11001JohnJ BurkettBurkettP11001???,436,540,22,50,6,0,0,18,26,226,0,0,0.093,0.136,0.104,0.24,0.0459363958,0.399293286,0,#DIV/0!
11001JohnJ BarnettBarnettCF11001???,58,206,18,49,8,4,0,12,15,,5,--,0.238,0.296,0.316,0.612,0.0678733032,0,#VALUE!,#VALUE!
11001WallyW BurnetteBurnetteP11001???,68,77,3,11,0,0,0,1,3,18,0,0,0.143,0.175,0.143,0.318,0.0375,0.225,0,#DIV/0!
11001C.B.C BurnsBurnsPH11001???,1,1,0,1,0,0,0,0,0,,0,--,1,1,1,2,0,0,#VALUE!,#VALUE!
11001DennisD BurnsBurnsP11001???,41,51,1,7,0,0,0,3,5,15,0,0,0.137,0.214,0.137,0.351,0.0892857143,0.267857143,0,#DIV/0!
11001EdE BurnsBurnsC11001???,321,796,48,183,21,6,0,65,83,59,14,--,0.23,0.308,0.271,0.579,0.0944254835,0.0671217292,#VALUE!,#VALUE!
11001FarmerF BurnsBurnsP11001???,1,0,1,0,0,0,0,0,1,,1,--,0,1,0,1,1,0,#VALUE!,#VALUE!
11001JackJ BurnsBurns2B11001???,15,53,5,12,0,0,0,4,2,,1,--,0.226,0.281,0.226,0.507,0.0363636364,0,#VALUE!,#VALUE!
11001JoshJ RavinRavinP11001???,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!
11001JayJ BuenteBuenteP11001???,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,#DIV/0!
11001ZachZ McAllisterMcAllisterP11001???,277,6,0,1,0,0,0,0,0,2,0,0,0.167,0.167,0.167,0.334,0,0.333333333,0,#DIV/0!
11001DavidD RobertsonRobertsonP11001???,794,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,#DIV/0!
11001KevinK ChapmanChapmanP11001???,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11001DuaneD BelowBelowP11001???,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!
11001DanD RunzlerRunzlerP11001???,97,1,0,0,0,0,0,0,1,1,0,0,0,0.5,0,0.5,0.5,0.5,0,#DIV/0!
11001AdrianA CardenasCardenas2B11001???,45,60,5,11,6,0,0,2,7,13,0,0,0.183,0.269,0.283,0.552,0.104477612,0.194029851,0,#DIV/0!
11001JordanJ SmithSmithP11001???,54,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2,0,#DIV/0!
11001JoshJ StinsonStinsonP11001???,20,1,0,0,0,0,0,0,1,1,0,0,0,0.5,0,0.5,0.5,0.5,0,#DIV/0!
11001ChadC HuffmanHuffmanLF11001???,21,32,4,7,0,1,0,2,3,11,0,0,0.219,0.306,0.281,0.587,0.0857142857,0.314285714,0,#DIV/0!
11001JoshJ RoenickeRoenickeP11001???,177,13,1,1,0,0,0,0,0,6,0,0,0.077,0.143,0.077,0.22,0,0.461538462,0,#DIV/0!
11001AngelA CastroCastroP11001???,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11001DrewD CarpenterCarpenterP11001???,17,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.25,0,#DIV/0!
11001BradB MillsMillsP11001???,5,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.25,0,#DIV/0!
11001AlexA CobbCobbP11001???,174,24,0,2,1,0,0,1,0,8,0,0,0.083,0.12,0.125,0.245,0,0.333333333,0,#DIV/0!
11001PaoloP EspinoEspinoP11001???,88,34,2,6,0,0,0,0,0,16,0,0,0.176,0.176,0.176,0.352,0,0.470588235,0,#DIV/0!
11001VicV BlackBlackP11001???,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11001BradB BoxbergerBoxbergerP11001???,364,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.333333333,0,#DIV/0!
11001P.J.P WaltersWaltersP11001???,19,10,0,0,0,0,0,0,1,6,0,0,0,0.091,0,0.091,0.0909090909,0.545454545,0,#DIV/0!
11001MikeM BolsingerBolsingerP11001???,37,66,2,3,1,0,0,1,0,37,0,0,0.045,0.045,0.061,0.106,0,0.560606061,0,#DIV/0!
11001AustinA Bibens-DirkxBibens-DirkxP11001???,37,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,#DIV/0!
11001NevinN AshleyAshleyC11001???,12,20,2,2,1,0,0,1,0,8,0,0,0.1,0.143,0.15,0.293,0,0.4,0,#DIV/0!
11001TrevorT CahillCahillP11001???,331,191,7,23,3,1,0,12,5,67,0,0,0.12,0.143,0.147,0.29,0.0255102041,0.341836735,0,#DIV/0!
11001LarsL AndersonAnderson1B11001???,30,48,7,8,1,0,0,4,7,14,0,0,0.167,0.268,0.188,0.456,0.127272727,0.254545455,0,#DIV/0!
11001AlexA SanabiaSanabiaP11001???,28,41,1,2,0,0,0,0,1,21,0,0,0.049,0.093,0.049,0.142,0.0238095238,0.5,0,#DIV/0!
11001VinnieV PestanoPestanoP11001???,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11001NateN AdcockAdcockP11001???,49,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,#DIV/0!
11001CaseyC FienFienP11001???,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11001MarcusM HatleyHatleyP11001???,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11001TylerT LadendorfLadendorf2B11001???,55,66,9,8,0,1,0,3,2,15,2,0,0.121,0.147,0.152,0.299,0.0294117647,0.220588235,0.0294117647,1
11001DavidD CarpenterCarpenterP11001???,216,5,0,1,0,0,0,0,0,1,0,0,0.2,0.2,0.2,0.4,0,0.2,0,#DIV/0!
11001H?ctorH SantiagoSantiagoP11001???,229,20,0,3,0,0,0,0,0,8,0,0,0.15,0.15,0.15,0.3,0,0.4,0,#DIV/0!
11001LukeL GregersonGregersonP11001???,646,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,#DIV/0!
11001JonathanJ DiazDiazSS11001???,35,55,6,8,1,0,0,6,4,17,1,0,0.145,0.242,0.164,0.406,0.0677966102,0.288135593,0.0169491525,1
11001DrewD HayesHayesP11001???,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!
11001RyanR KellyKellyP11001???,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11001JustinJ MillerMillerP11001???,173,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.75,0,#DIV/0!
11001AaronA BarrettBarrettP11001???,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11001JakeJ PetrickaPetrickaP11001???,235,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,#DIV/0!
11001DanielD HerreraHerreraP11001???,131,3,0,0,0,0,0,0,1,2,0,0,0,0.25,0,0.25,0.25,0.5,0,#DIV/0!
11001TobiT StonerStonerP11001???,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11001ChaseC AndersonAndersonP11001???,210,275,6,25,2,0,0,10,4,146,0,0,0.091,0.11,0.098,0.208,0.0143369176,0.523297491,0,#DIV/0!
11001ColeC FigueroaFigueroa2B11001???,48,77,8,16,4,1,0,9,5,6,1,0,0.208,0.25,0.286,0.536,0.0609756098,0.0731707317,0.012195122,1
11001DerekD HollandHollandP11001???,275,82,3,6,1,0,0,0,4,50,0,0,0.073,0.116,0.085,0.201,0.0465116279,0.581395349,0,#DIV/0!
11001BradB PeacockPeacockP11001???,181,17,1,2,1,0,0,2,1,11,0,0,0.118,0.167,0.176,0.343,0.0555555556,0.611111111,0,#DIV/0!
11001JeradJ HeadHeadLF11001???,10,24,2,3,1,0,0,1,0,5,1,0,0.125,0.16,0.167,0.327,0,0.208333333,0.0416666667,1
11001DarrenD O'DayO'DayP11001???,535,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,#DIV/0!
11001BlakeB LalliLalli1B11001???,32,52,2,7,1,0,0,5,1,13,0,0,0.135,0.151,0.154,0.305,0.0188679245,0.245283019,0,#DIV/0!
11001JamesJ BeresfordBeresford2B11001???,10,22,0,5,1,0,0,0,1,6,0,0,0.227,0.261,0.273,0.534,0.0434782609,0.260869565,0,#DIV/0!
11001JoelJ De La CruzDe La CruzP11001???,22,16,0,3,0,0,0,1,0,8,0,0,0.188,0.188,0.188,0.376,0,0.5,0,#DIV/0!
