PLAYERPLAYER,G,AB,R ,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,,,,
122J.D.J MartinezMartinezDH122???,1642,6152,897,1741,390,24,331,1071,601,1714,26,11,0.283,0.348,0.516,0.864,0.0889974826,0.25381312,0.00547904635,0.702702703
122HankH GreenbergGreenberg1B122???,1394,5193,1051,1628,379,71,331,1276,852,844,58,26,0.313,0.412,0.605,1.017,0.140942928,0.13961952,0.0138957816,0.69047619
122AndrewA McCutchenMcCutchenRF122???,2240,8271,1281,2248,448,50,331,1144,1170,1875,220,90,0.272,0.365,0.458,0.823,0.12392755,0.198601843,0.0328355047,0.709677419
126KyleK SchwarberSchwarberLF126???,1261,4430,779,1025,172,13,329,762,744,1485,37,19,0.231,0.346,0.499,0.845,0.143795903,0.287011983,0.0108233475,0.660714286
127ShawnS GreenGreenRF127???,1951,7082,1129,2003,445,35,328,1070,744,1315,162,52,0.283,0.355,0.494,0.849,0.095067723,0.168029645,0.0273447483,0.757009346
127MoM VaughnVaughn1B127???,1512,5532,861,1620,270,10,328,1064,725,1429,30,18,0.293,0.383,0.523,0.906,0.115870225,0.22838421,0.00767140802,0.625
129JermaineJ DyeDyeRF129???,1763,6487,984,1779,363,25,325,1072,597,1308,46,26,0.274,0.338,0.488,0.826,0.0842744212,0.184641446,0.0101637493,0.638888889
129WillieW HortonHortonLF129???,2028,7298,873,1993,284,40,325,1163,620,1313,20,38,0.273,0.332,0.457,0.789,0.0783026017,0.165824703,0.00732508209,0.344827586
129JustinJ UptonUptonLF129???,1845,6721,1058,1754,350,38,325,1003,785,1971,151,59,0.261,0.342,0.469,0.811,0.104583,0.262589928,0.0279776179,0.719047619
132GaryG CarterCarterC132???,2296,7971,1025,2092,371,31,324,1225,848,997,39,42,0.262,0.335,0.439,0.774,0.0961560268,0.113051366,0.00918471482,0.481481481
132LanceL ParrishParrishC132???,1988,7067,856,1782,305,27,324,1070,612,1527,28,37,0.252,0.313,0.44,0.753,0.0796978773,0.198854017,0.00846464383,0.430769231
134RonR GantGantLF134???,1832,6449,1080,1651,302,50,321,1008,770,1411,243,102,0.256,0.336,0.468,0.804,0.106662973,0.195456434,0.0477905527,0.704347826
135VinnyV CastillaCastilla3B135???,1854,6822,902,1884,349,28,320,1105,423,1069,33,43,0.276,0.321,0.476,0.797,0.0583850932,0.147550035,0.0104899931,0.434210526
135TroyT GlausGlaus3B135???,1537,5410,889,1375,293,10,320,950,854,1377,56,29,0.254,0.358,0.489,0.847,0.13633461,0.219827586,0.0135696041,0.658823529
137PrinceP FielderFielder1B137???,1611,5821,862,1645,321,10,319,1028,847,1155,18,11,0.283,0.382,0.506,0.888,0.127024595,0.173215357,0.00434913017,0.620689655
137CecilC FielderFielder1B137???,1470,5157,744,1313,200,7,319,1008,693,1316,2,6,0.255,0.345,0.482,0.827,0.118461538,0.224957265,0.00136752137,0.25
137JayJ BruceBruceRF137???,1650,5964,839,1455,312,32,319,951,600,1572,65,40,0.244,0.314,0.467,0.781,0.0914076782,0.239488117,0.0159963437,0.619047619
140RoyR SieversSievers1B140???,1887,6387,945,1703,292,42,318,1147,841,920,14,19,0.267,0.354,0.475,0.829,0.116353071,0.127282789,0.00456557831,0.424242424
141GeorgeG BrettBrett3B141???,2707,10349,1583,3154,665,137,317,1596,1096,908,201,97,0.305,0.369,0.487,0.856,0.0957623416,0.0793359546,0.026037571,0.674496644
141Adri?nA Gonz?lezGonz?lez1B141???,1929,7139,997,2050,437,12,317,1202,782,1401,6,7,0.287,0.358,0.485,0.843,0.0987249085,0.176871607,0.00164120692,0.461538462
141EugenioE Su?rezSu?rez3B141???,1601,5705,816,1411,257,15,317,932,623,1766,35,20,0.247,0.329,0.464,0.793,0.0984513274,0.279077118,0.00869152971,0.636363636
144RonR CeyCey3B144???,2073,7162,977,1868,328,21,316,1139,1012,1235,24,29,0.261,0.354,0.445,0.799,0.123807194,0.151088818,0.00648397357,0.452830189
144ScottS RolenRolen3B144???,2038,7398,1211,2077,517,43,316,1287,899,1410,118,49,0.281,0.364,0.49,0.854,0.108352417,0.169940943,0.020127757,0.706586826
144MattM HollidayHollidayLF144???,1903,7009,1157,2096,468,32,316,1220,802,1362,108,37,0.299,0.379,0.51,0.889,0.102675714,0.174369479,0.0185635642,0.744827586
147JeromyJ BurnitzBurnitzRF147???,1694,5710,917,1447,298,29,315,981,739,1376,74,58,0.253,0.345,0.481,0.826,0.11459141,0.213366413,0.0204682897,0.560606061
148ReggieR SmithSmithRF148???,1987,7033,1123,2020,363,57,314,1092,890,1030,137,86,0.287,0.366,0.489,0.855,0.112331188,0.130001262,0.0281459043,0.614349776
149IvanI RodriguezRodriguezC149???,2543,9592,1354,2844,572,51,311,1332,513,1474,127,64,0.296,0.334,0.464,0.798,0.0507669471,0.145868382,0.0189015339,0.664921466
150JayJ BuhnerBuhnerRF150???,1472,5013,797,1273,233,19,310,965,792,1406,6,24,0.254,0.359,0.494,0.853,0.136434109,0.242204996,0.00516795866,0.2
151EdgarE MartinezMartinezDH151???,2055,7213,1219,2247,514,15,309,1261,1283,1202,49,30,0.312,0.418,0.515,0.933,0.151012241,0.141478343,0.00929849341,0.620253165
152AlA SimmonsSimmonsLF152???,2215,8759,1507,2927,539,149,307,1827,615,737,88,64,0.334,0.38,0.535,0.915,0.0656069981,0.0786217197,0.0162150629,0.578947368
152MiguelM TejadaTejadaSS152???,2171,8434,1230,2407,468,23,307,1302,553,1079,85,38,0.285,0.336,0.456,0.792,0.0615333259,0.120062312,0.013686436,0.691056911
152GregG LuzinskiLuzinskiLF152???,1821,6505,880,1795,344,24,307,1128,845,1495,37,31,0.276,0.363,0.478,0.841,0.114965986,0.203401361,0.00925170068,0.544117647
155RichieR SexsonSexson1B155???,1367,4928,748,1286,260,17,306,943,588,1313,14,13,0.261,0.344,0.507,0.851,0.106598985,0.238034808,0.00489485134,0.518518519
155RubenR SierraSierraRF155???,2186,8044,1084,2152,428,59,306,1322,610,1239,142,52,0.268,0.315,0.45,0.765,0.0704876358,0.143170788,0.0224173792,0.731958763
155FredF LynnLynnCF155???,1969,6925,1063,1960,388,43,306,1111,857,1116,72,54,0.283,0.36,0.484,0.844,0.110125932,0.143407864,0.0161912105,0.571428571
158RaulR IbanezIbanezLF158???,2161,7471,1055,2034,424,51,305,1207,713,1374,50,29,0.272,0.335,0.465,0.8,0.0871212121,0.167888563,0.00965298143,0.632911392
158ReggieR SandersSandersRF158???,1777,6241,1037,1666,341,60,305,983,674,1614,304,115,0.267,0.343,0.487,0.83,0.0974692697,0.23340564,0.060592914,0.725536993
158DavidD JusticeJusticeRF158???,1610,5625,929,1571,280,24,305,1017,903,999,53,46,0.279,0.378,0.5,0.878,0.138327206,0.153033088,0.0151654412,0.535353535
161SteveS FinleyFinleyCF161???,2583,9397,1443,2548,449,124,304,1167,844,1299,320,118,0.271,0.332,0.442,0.774,0.0824138268,0.126843082,0.0427692608,0.730593607
162AnthonyA RizzoRizzo1B162???,1727,6288,922,1644,338,22,303,965,781,1208,72,44,0.261,0.361,0.467,0.828,0.110482388,0.170886971,0.0164096761,0.620689655
163RogersR HornsbyHornsby2B163???,2259,8173,1579,2930,541,169,301,1584,1038,679,135,64,0.358,0.434,0.577,1.011,0.112691347,0.0737162089,0.0216046032,0.67839196
164ChuckC KleinKleinRF164???,1753,6486,1168,2076,398,74,300,1201,601,521,79,--,0.32,0.379,0.543,0.922,0.0848031607,0.0735148864,#VALUE!,#VALUE!
165TimT SalmonSalmonRF165???,1672,5934,986,1674,339,24,299,1016,970,1360,48,42,0.282,0.385,0.498,0.883,0.140498262,0.196987254,0.0130359212,0.533333333
166MarkM ReynoldsReynolds3B166???,1688,5432,794,1283,253,14,298,871,707,1927,64,31,0.236,0.328,0.453,0.781,0.115165336,0.313894771,0.015474833,0.673684211
167RickeyR HendersonHendersonLF167???,3081,10961,2295,3055,510,66,297,1115,2190,1694,1406,335,0.279,0.401,0.419,0.82,0.16652726,0.128811497,0.13238537,0.80758185
168ChrisC DavisDavis1B168???,1417,4978,707,1160,228,5,295,780,555,1852,19,11,0.233,0.315,0.459,0.774,0.100307247,0.334718959,0.00542201337,0.633333333
168MarcellM OzunaOzunaDH168???,1590,5969,817,1608,275,21,295,942,595,1463,29,14,0.269,0.336,0.471,0.807,0.0906459476,0.222882389,0.00655088361,0.674418605
168SalvadorS PerezPerezC168???,1678,6368,700,1690,316,11,295,990,266,1283,6,1,0.265,0.302,0.457,0.759,0.0400964727,0.193397648,0.00105517033,0.857142857
171RobinR VenturaVentura3B171???,2079,7064,1006,1885,338,14,294,1182,1075,1179,24,38,0.267,0.362,0.444,0.806,0.132080108,0.144858091,0.00761764345,0.387096774
171MagglioM OrdonezOrdonezRF171???,1848,6978,1076,2156,426,21,294,1236,651,852,94,50,0.309,0.369,0.502,0.871,0.0853322847,0.111679119,0.0188753441,0.652777778
173KentK HrbekHrbek1B173???,1747,6192,903,1749,312,18,293,1086,838,798,37,26,0.282,0.367,0.481,0.848,0.119203414,0.113513514,0.00896159317,0.587301587
174PatP BurrellBurrellLF174???,1640,5503,767,1393,299,16,292,976,932,1564,7,3,0.253,0.361,0.472,0.833,0.144832945,0.243045843,0.00155400155,0.7
174RustyR StaubStaubOF174???,2951,9720,1189,2716,499,47,292,1466,1255,888,47,33,0.279,0.362,0.431,0.793,0.114350797,0.0809111617,0.00728929385,0.5875
176CraigC BiggioBiggio2B176???,2850,10876,1844,3060,668,55,291,1175,1160,1753,414,124,0.281,0.363,0.433,0.796,0.0963775341,0.145646394,0.0446992356,0.769516729
176JimmyJ WynnWynnCF176???,1920,6653,1105,1665,285,39,291,963,1224,1428,225,101,0.25,0.366,0.436,0.802,0.155389108,0.181287292,0.0413863146,0.690184049
178DelD EnnisEnnisLF178???,1903,7254,985,2063,358,69,288,1284,597,719,45,19,0.284,0.34,0.472,0.812,0.0760412686,0.0915806904,0.00815182779,0.703125
178HankH SauerSauerLF178???,1399,4796,709,1278,200,19,288,876,561,714,11,4,0.266,0.347,0.496,0.843,0.104722793,0.133283554,0.00280007467,0.733333333
178BobbyB AbreuAbreuRF178???,2425,8480,1453,2470,574,59,288,1363,1476,1840,400,128,0.291,0.395,0.475,0.87,0.14825231,0.184813178,0.0530333467,0.757575758
178BobB JohnsonJohnsonLF178???,1863,6920,1239,2051,396,95,288,1283,1075,851,96,64,0.296,0.393,0.506,0.899,0.134459037,0.106441526,0.0200125078,0.6
182BernieB WilliamsWilliamsCF182???,2076,7869,1366,2336,449,55,287,1257,1069,1212,147,87,0.297,0.381,0.477,0.858,0.119601701,0.135600806,0.0261803535,0.628205128
182MattM KempKempCF182???,1750,6365,950,1808,338,37,287,1031,518,1641,184,63,0.284,0.337,0.484,0.821,0.0752578817,0.238413482,0.035885515,0.744939271
