PLAYERPLAYER,AB,BB,SO,SB,CS,AVG,BBBB/(ABAB+BBBB),SOSO/(ABAB+BBBB),(SBSB+CSCS)/(ABAB+BBBB),SBSB/(SBSB+CSCS),__sheet__
5239TerryT TiffeeTiffee3B5239???,243,15,26,1,1,0.226,0.058139535,0.100775194,0.007751938,0.5,csv
5239DarrellD WhitmoreWhitmoreOF5239???,330,18,92,4,3,0.203,0.051724138,0.264367816,0.020114943,0.571428571,csv
5239LouL SaySaySS5239???,1123,35,31,,,0.232,0.030224525,0.026770294,,,csv
5239ShaneS CostaCostaLF5239???,421,16,63,2,1,0.254,0.036613272,0.14416476,0.006864989,0.666666667,csv
5239JohnJ SullivanSullivanOF5239???,495,48,55,6,7,0.309,0.08839779,0.101289134,0.023941068,0.461538462,csv
5239AndyA MessersmithMessersmithP5239???,729,46,212,1,0,0.17,0.059354839,0.273548387,0.001290323,1,csv
5239JimJ PerryPerryP5239???,889,32,179,0,1,0.199,0.034744843,0.194353963,0.001085776,0,csv
5239JasonJ BottsBottsLF5239???,282,38,108,1,0,0.23,0.11875,0.3375,0.003125,1,csv
5239DannyD GarciaGarcia2B5239???,194,24,45,3,0,0.227,0.110091743,0.206422018,0.013761468,1,csv
5239RaulR GonzalezGonzalezRF5239???,348,34,65,7,2,0.233,0.089005236,0.170157068,0.023560209,0.777777778,csv
5239JohnJ PattersonPatterson2B5239???,564,35,113,22,7,0.215,0.058430718,0.188647746,0.048414023,0.75862069,csv
5239ShaneS ReynoldsReynoldsP5239???,546,14,247,0,0,0.141,0.025,0.441071429,0,,csv
5239JasonJ MarquisMarquisP5239???,663,13,167,1,0,0.196,0.019230769,0.24704142,0.00147929,1,csv
5239BobB SmithSmithP5239???,1689,52,110,16,13,0.242,0.029867892,0.063182079,0.016657094,0.551724138,csv
5239AndreA RobertsonRobertsonSS5239???,724,26,120,4,8,0.251,0.034666667,0.16,0.016,0.333333333,csv
5239HollisH ThurstonThurstonP5239???,648,24,91,1,1,0.27,0.035714286,0.135416667,0.00297619,0.5,csv
5239LuisL TiantTiantP5239???,513,13,146,1,1,0.164,0.024714829,0.27756654,0.003802281,0.5,csv
5239JasonJ WoodWood1B5239???,200,15,59,1,1,0.245,0.069767442,0.274418605,0.009302326,0.5,csv
5239MiltM ScottScott1B5239???,1285,40,78,11,,0.228,0.030188679,0.058867925,,,csv
5239LewL McCartyMcCartyC5239???,1479,102,109,20,4,0.266,0.064516129,0.068943707,0.015180266,0.833333333,csv
5239RobinR RobertsRobertsP5239???,1525,135,372,3,1,0.167,0.081325301,0.224096386,0.002409639,0.75,csv
5239FrankF QuiliciQuilici2B5239???,682,66,120,3,3,0.214,0.088235294,0.160427807,0.00802139,0.5,csv
5239DanD WaltersWaltersC5239???,273,17,41,1,0,0.234,0.05862069,0.14137931,0.003448276,1,csv
5239JackJ ScottScottP5239???,680,39,76,1,2,0.275,0.054242003,0.105702364,0.004172462,0.333333333,csv
5239BabeB PinelliPinelli3B5239???,2617,182,162,71,80,0.276,0.065023223,0.057877814,0.053947839,0.470198675,csv
5239OrlandoO McFarlaneMcFarlaneC5239???,292,20,93,0,0,0.24,0.064102564,0.298076923,0,,csv
5239JohnnyJ WatwoodWatwoodOF5239???,1423,154,103,27,17,0.283,0.097653773,0.065313887,0.027901078,0.613636364,csv
5239DavidD PalmerPalmerP5239???,323,5,95,0,0,0.149,0.015243902,0.289634146,0,,csv
5239JohnJ RichmondRichmondSS5239???,1600,102,76,,,0.241,0.059929495,0.044653349,,,csv
5239HughH NicolNicolRF5239???,3465,337,88,383,,0.235,0.088637559,0.023145713,,,csv
5239OmarO OlivaresOlivaresP5239???,242,6,71,0,0,0.24,0.024193548,0.286290323,0,,csv
5239JoseJ LeonLeon3B5239???,209,8,57,1,0,0.225,0.036866359,0.262672811,0.004608295,1,csv
5239AlA ScheerScheerLF5239???,931,116,81,41,,0.281,0.110792741,0.077363897,,,csv
5239YipY OwensOwensC5239???,694,34,50,9,,0.245,0.046703297,0.068681319,,,csv
5239DanD SchatzederSchatzederP5239???,242,18,68,1,0,0.24,0.069230769,0.261538462,0.003846154,1,csv
5239BobbyB RoseRose2B5239???,200,15,33,1,1,0.245,0.069767442,0.153488372,0.009302326,0.5,csv
5239JesseJ GarciaGarcia2B5239???,273,8,48,7,6,0.216,0.028469751,0.170818505,0.046263345,0.538461538,csv
5239EricE WedgeWedgeC5239???,86,14,25,0,0,0.233,0.14,0.25,0,,csv
5239JohnnyJ WeeklyWeeklyOF5239???,121,15,21,0,0,0.207,0.110294118,0.154411765,0,,csv
5239BillB SorrellSorrell3B5239???,165,15,16,1,0,0.267,0.083333333,0.088888889,0.005555556,1,csv
5239ParsonP NicholsonNicholson2B5239???,646,51,11,58,,0.262,0.073170732,0.015781923,,,csv
5239TomT NietoNietoC5239???,619,55,135,0,3,0.205,0.081602374,0.200296736,0.004451039,0,csv
5239AlanA WigginsWiggins2B5239???,2247,235,193,242,68,0.259,0.094681708,0.077759871,0.124899275,0.780645161,csv
5239JackJ McCandlessMcCandlessCF5239???,437,44,99,9,,0.217,0.091476091,0.205821206,,,csv
5239MikeM DarrDarrRF5239???,542,67,135,17,4,0.273,0.11001642,0.221674877,0.034482759,0.80952381,csv
5239CarlC ScheibScheibP5239???,468,21,59,1,0,0.25,0.042944785,0.120654397,0.00204499,1,csv
5239RayR SadeckiSadeckiP5239???,789,27,161,0,1,0.191,0.033088235,0.197303922,0.00122549,0,csv
5239MikeM SadekSadekC5239???,813,108,97,6,1,0.226,0.117263844,0.105320304,0.007600434,0.857142857,csv
5239RalphR WinegarnerWinegarnerP5239???,185,15,43,1,1,0.276,0.075,0.215,0.01,0.5,csv
5239KevinK RomineRomineRF5239???,630,49,124,11,2,0.251,0.072164948,0.182621502,0.019145803,0.846153846,csv
5239LipL PikePikeCF5239???,733,26,29,0,,0.304,0.034255599,0.038208169,,,csv
5239AngelA PenaPenaC5239???,187,13,47,0,1,0.209,0.065,0.235,0.005,0,csv
5239JeffJ McKnightMcKnight1B5239???,404,28,76,1,1,0.233,0.064814815,0.175925926,0.00462963,0.5,csv
5239OttoO MillerMillerC5239???,2836,104,301,40,6,0.245,0.03537415,0.102380952,0.015646259,0.869565217,csv
5239AlexA CabreraCabrera1B5239???,80,4,21,0,0,0.263,0.047619048,0.25,0,,csv
5239PeteP SchneiderSchneiderP5239???,434,5,100,3,,0.221,0.011389522,0.227790433,,,csv
5239TillieT ShaferShafer3B5239???,776,105,80,60,,0.273,0.119182747,0.090805902,,,csv
5239KenK SilvestriSilvestriC5239???,203,31,41,0,1,0.217,0.132478632,0.175213675,0.004273504,0,csv
5239RollieR ZeiderZeider2B5239???,3210,334,138,223,,0.24,0.094243792,0.038939052,,,csv
5239RoyR ParmeleeParmeleeP5239???,396,13,113,0,0,0.207,0.031784841,0.276283619,0,,csv
5239DennyD NeagleNeagleP5239???,531,19,155,0,1,0.164,0.034545455,0.281818182,0.001818182,0,csv
5239HubH WalkerWalkerOF5239???,779,104,89,26,1,0.263,0.117780294,0.100792752,0.030577576,0.962962963,csv
5239CamiloC PascualPascualP5239???,967,46,123,0,0,0.205,0.045409674,0.12142152,0,,csv
5239LouieL MeadowsMeadowsLF5239???,127,10,28,6,4,0.173,0.072992701,0.204379562,0.072992701,0.6,csv
5239ScotS ThompsonThompsonRF5239???,1273,97,141,17,13,0.262,0.07080292,0.102919708,0.02189781,0.566666667,csv
5239TyT TysonTysonOF5239???,704,35,61,14,,0.28,0.047361299,0.082543978,,,csv
5239KenK SuarezSuarezC5239???,661,99,97,5,3,0.227,0.130263158,0.127631579,0.010526316,0.625,csv
5239LeeL MeadowsMeadowsP5239???,1117,34,272,0,1,0.18,0.029539531,0.236316247,0.00086881,0,csv
5239RoyR ZimmermanZimmerman1B5239???,98,5,16,1,,0.276,0.048543689,0.155339806,,,csv
5239RandyR WolfWolfP5239???,694,32,231,2,1,0.184,0.044077135,0.318181818,0.004132231,0.666666667,csv
5239MervM SheaSheaC5239???,1197,189,145,8,4,0.22,0.136363636,0.104617605,0.008658009,0.666666667,csv
5239GeorgeG YeagerYeagerC5239???,705,45,1,7,,0.238,0.06,0.001333333,,,csv
5568HerbH PlewsPlews2B5568???,1017,74,133,3,9,0.262,0.067827681,0.121906508,0.010999083,0.25,csv
5568RubeR WalbergWalbergP5568???,905,48,179,2,1,0.179,0.050367261,0.187827912,0.003147954,0.666666667,csv
5568DonellD NixonNixonCF5568???,396,35,77,47,18,0.275,0.081206497,0.178654292,0.150812065,0.723076923,csv
5568DickD PhelanPhelan2B5568???,422,12,5,,,0.242,0.02764977,0.011520737,,,csv
5568PeteP StanicekStanicekOF5568???,374,36,64,20,7,0.243,0.087804878,0.156097561,0.065853659,0.740740741,csv
5568LouL SleaterSleaterP5568???,103,4,11,0,0,0.204,0.037383178,0.102803738,0,,csv
5568AndyA StankiewiczStankiewicz2B5568???,844,80,141,17,9,0.241,0.086580087,0.152597403,0.028138528,0.653846154,csv
5568EddieE WilsonWilsonOF5568???,227,31,39,4,,0.317,0.120155039,0.151162791,,,csv
5568BenB WadeWadeP5568???,98,2,37,0,0,0.112,0.02,0.37,0,,csv
5568RubeR WaddellWaddellP5568???,1066,42,,6,,0.161,0.037906137,,,,csv
5568CarlosC PerezPerezP5568???,250,12,107,0,0,0.152,0.045801527,0.408396947,0,,csv
5568HideoH NomoNomoP5568???,485,13,222,0,0,0.134,0.026104418,0.445783133,0,,csv
5568OssieO VittVitt3B5568???,3760,455,131,114,32,0.238,0.107947805,0.031079478,0.034638197,0.780821918,csv
5568PeteP NoonanNoonanC5568???,479,21,,5,,0.205,0.042,,,,csv
5568StanS RojekRojekSS5568???,1764,152,100,32,3,0.266,0.079331942,0.052192067,0.018267223,0.914285714,csv
5568ChinkC OutenOutenC5568???,153,20,15,1,,0.248,0.115606936,0.086705202,,,csv
5568EricE ShowShowP5568???,506,4,179,0,0,0.16,0.007843137,0.350980392,0,,csv
5568RichR MurrayMurray1B5568???,204,11,51,2,1,0.216,0.051162791,0.237209302,0.013953488,0.666666667,csv
5568GuillermoG VelasquezVelasquez1B5568???,166,14,42,0,0,0.223,0.077777778,0.233333333,0,,csv
5568JohnJ RabbRabbC5568???,204,19,53,2,1,0.225,0.085201794,0.237668161,0.013452915,0.666666667,csv
5568JimJ McCormickMcCormickP5568???,2082,22,127,10,,0.236,0.010456274,0.060361217,,,csv
5568KevinK PolcovichPolcovichSS5568???,457,36,78,6,5,0.234,0.073022312,0.15821501,0.022312373,0.545454545,csv
5568RobR NelsonNelson1B5568???,152,24,66,1,3,0.178,0.136363636,0.375,0.022727273,0.25,csv
5568WallyW ShanerShanerOF5568???,629,43,54,13,4,0.278,0.063988095,0.080357143,0.025297619,0.764705882,csv
5568JimJ NashNashP5568???,375,9,199,0,0,0.101,0.0234375,0.518229167,0,,csv
5568KenK RaffensbergerRaffensbergerP5568???,688,20,280,0,1,0.141,0.028248588,0.395480226,0.001412429,0,csv
5568AlA UnserUnserC5568???,338,32,43,0,1,0.251,0.086486486,0.116216216,0.002702703,0,csv
5568PatP ScanlonScanlon3B5568???,219,31,51,0,1,0.187,0.124,0.204,0.004,0,csv
5568JohnJ OrtonOrtonC5568???,401,31,121,2,5,0.2,0.071759259,0.280092593,0.016203704,0.285714286,csv
5568ChuckC StevensStevens1B5568???,732,88,89,6,8,0.251,0.107317073,0.108536585,0.017073171,0.428571429,csv
5568WoodyW WilliamsWilliamsP5568???,540,17,183,1,1,0.194,0.030520646,0.328545781,0.003590664,0.5,csv
5568LeftyL TylerTylerP5568???,870,80,143,0,0,0.217,0.084210526,0.150526316,0,,csv
5568RobR NatalNatalC5568???,289,30,68,2,1,0.197,0.094043887,0.213166144,0.009404389,0.666666667,csv
5568BubbaB CrosbyCrosbyCF5568???,250,10,51,9,2,0.216,0.038461538,0.196153846,0.042307692,0.818181818,csv
5568BoB HartHart2B5568???,309,13,67,3,1,0.272,0.040372671,0.208074534,0.01242236,0.75,csv
5568ChrisC TurnerTurnerC5568???,379,36,89,5,2,0.237,0.086746988,0.214457831,0.01686747,0.714285714,csv
5568BobB TurleyTurleyP5568???,547,31,191,1,1,0.126,0.053633218,0.330449827,0.003460208,0.5,csv
5568EdwardsE GuzmanGuzman3B5568???,276,10,37,0,0,0.228,0.034965035,0.129370629,0,,csv
5568BobB RamazzottiRamazzotti2B5568???,851,45,107,15,1,0.23,0.050223214,0.119419643,0.017857143,0.9375,csv
5568ClydeC WrightWrightP5568???,378,15,120,0,1,0.183,0.038167939,0.305343511,0.002544529,0,csv
5568DasherD TroyTroy2B5568???,1127,41,52,,,0.243,0.03510274,0.044520548,,,csv
5568MarioM RamirezRamirezSS5568???,286,41,64,0,0,0.192,0.125382263,0.195718654,0,,csv
5568BernieB WilliamsWilliamsOF5568???,172,21,53,2,2,0.192,0.10880829,0.274611399,0.020725389,0.5,csv
5568BobbyB RamosRamosC5568???,232,22,38,0,0,0.19,0.086614173,0.149606299,0,,csv
5568RedR TreadwayTreadwayOF5568???,394,33,24,5,,0.266,0.077283372,0.056206089,,,csv
5568HerveyH McClellanMcClellanSS5568???,1162,68,103,23,16,0.221,0.055284553,0.083739837,0.031707317,0.58974359,csv
5568HerbH PennockPennockP5568???,1214,94,172,1,0,0.191,0.071865443,0.131498471,0.000764526,1,csv
5568JudJ SmithSmith3B5568???,346,37,9,15,,0.28,0.096605744,0.023498695,,,csv
5568DonD SavageSavage3B5568???,297,23,55,2,1,0.256,0.071875,0.171875,0.009375,0.666666667,csv
5568EddieE MurphyMurphyRF5568???,2373,294,145,111,50,0.287,0.11023622,0.054368204,0.060367454,0.689440994,csv
5568PryorP McElveenMcElveen3B5568???,502,36,50,12,,0.209,0.066914498,0.092936803,,,csv
5568CharlesC TolsonTolson1B5568???,275,26,39,1,0,0.284,0.086378738,0.129568106,0.003322259,1,csv
5568TonyT PenaPenaSS5568???,829,20,150,8,7,0.228,0.023557126,0.176678445,0.017667845,0.533333333,csv
5568RayR MorganMorgan2B5568???,2480,320,184,87,22,0.254,0.114285714,0.065714286,0.038928571,0.798165138,csv
5568DiegoD SeguiSeguiP5568???,384,14,197,0,0,0.151,0.035175879,0.494974874,0,,csv
5568MorrieM RathRath2B5568???,2048,258,70,82,11,0.254,0.111882047,0.030355594,0.040329575,0.88172043,csv
5568JimmyJ RingRingP5568???,817,17,288,2,1,0.147,0.020383693,0.345323741,0.003597122,0.666666667,csv
5568MontyM StrattonStrattonP5568???,192,4,24,0,0,0.224,0.020408163,0.12244898,0,,csv
5568CulleyC RikardRikardRF5568???,396,58,48,1,,0.27,0.127753304,0.105726872,,,csv
5568MerrillM MayMay3B5568???,2215,261,121,13,,0.275,0.105411955,0.048869144,,,csv
5568JimJ MerrittMerrittP5568???,397,28,178,0,1,0.141,0.065882353,0.418823529,0.002352941,0,csv
5568MickeyM O'NeilO'NeilC5568???,1995,139,127,18,13,0.238,0.065135895,0.059512652,0.01452671,0.580645161,csv
5568JimmyJ MooreMooreLF5568???,232,19,20,1,2,0.254,0.075697211,0.079681275,0.011952191,0.333333333,csv
5568HarryH RicondaRiconda3B5568???,765,61,91,13,6,0.247,0.073849879,0.110169492,0.023002421,0.684210526,csv
5568MikeM RabeloRabeloC5568???,278,14,67,0,1,0.234,0.047945205,0.229452055,0.003424658,0,csv
5568MikeM RichardtRichardt2B5568???,580,27,62,11,3,0.226,0.044481054,0.10214168,0.02306425,0.785714286,csv
5568EarlE WhitehillWhitehillP5568???,1291,97,216,3,0,0.204,0.069884726,0.155619597,0.002161383,1,csv
5568FredF ThomasThomas3B5568???,859,84,90,24,5,0.225,0.089077413,0.095440085,0.030752916,0.827586207,csv
5568JohnnyJ O'BrienO'Brien2B5568???,815,59,82,2,2,0.25,0.067505721,0.09382151,0.004576659,0.5,csv
5568KipK WellsWellsP5568???,331,4,143,1,0,0.19,0.011940299,0.426865672,0.002985075,1,csv
5568PhilipP RecciusReccius3B5568???,975,54,,12,,0.231,0.052478134,,,,csv
5568TomT O'BrienO'Brien2B5568???,1111,52,10,16,,0.231,0.044711952,0.008598452,,,csv
5568SamS MejiasMejiasRF5568???,348,16,51,8,2,0.247,0.043956044,0.14010989,0.027472527,0.8,csv
5568JerryJ TerrellTerrell3B5568???,1626,76,160,50,23,0.253,0.044653349,0.094007051,0.042890717,0.684931507,csv
5568RalphR YoungYoung2B5568???,3643,495,235,92,59,0.247,0.119623006,0.05679072,0.036491058,0.609271523,csv
5568JeffJ SalazarSalazarRF5568???,298,44,83,5,2,0.232,0.128654971,0.242690058,0.020467836,0.714285714,csv
5568RonnR ReynoldsReynoldsC5568???,356,18,96,0,1,0.188,0.048128342,0.256684492,0.002673797,0,csv
5568RoyR MooreMooreP5568???,155,10,33,0,1,0.239,0.060606061,0.2,0.006060606,0,csv
5568A.J.A BurnettBurnettP5568???,493,20,241,0,0,0.114,0.038986355,0.469785575,0,,csv
5568RickR ReuschelReuschelP5568???,1115,46,317,3,5,0.168,0.039621016,0.273040482,0.006890612,0.375,csv
5568AndersonA HernandezHernandez2B5568???,643,55,107,10,6,0.241,0.078796562,0.153295129,0.022922636,0.625,csv
5568DonD TaussigTaussigOF5568???,263,21,53,2,2,0.262,0.073943662,0.186619718,0.014084507,0.5,csv
5568TommyT SmithSmithOF5568???,271,11,24,9,1,0.232,0.039007092,0.085106383,0.035460993,0.9,csv
5568KenK TatumTatumP5568???,45,3,17,0,0,0.244,0.0625,0.354166667,0,,csv
5568RickR RenteriaRenteria2B5568???,422,25,49,2,6,0.237,0.055928412,0.109619687,0.017897092,0.25,csv
5568BennieB TateTateC5568???,1560,118,51,5,15,0.279,0.070321812,0.030393325,0.011918951,0.25,csv
5568TomT SeatonSeatonP5568???,451,24,163,8,,0.186,0.050526316,0.343157895,,,csv
5568LarryL WhisentonWhisentonOF5568???,205,29,42,3,2,0.234,0.123931624,0.179487179,0.021367521,0.6,csv
5568JohnJ TamargoTamargoC5568???,244,34,27,1,1,0.242,0.122302158,0.097122302,0.007194245,0.5,csv
5568FredF TalbotTalbotP5568???,241,24,90,1,0,0.174,0.090566038,0.339622642,0.003773585,1,csv
5568DougD TaittTaittOF5568???,824,58,64,13,7,0.263,0.065759637,0.072562358,0.022675737,0.65,csv
5568RickR SutcliffeSutcliffeP5568???,562,34,143,4,0,0.181,0.05704698,0.239932886,0.006711409,1,csv
5568JimJ ShawShawP5568???,528,16,189,0,0,0.163,0.029411765,0.347426471,0,,csv
5568ShaneS MonahanMonahanOF5568???,226,8,59,1,2,0.235,0.034188034,0.252136752,0.012820513,0.333333333,csv
5568HapH MyersMyers1B5568???,1251,119,130,132,,0.268,0.086861314,0.094890511,,,csv
5568DelD YoungYoungOF5568???,196,5,13,1,,0.265,0.024875622,0.064676617,,,csv
5568KevinK MillwoodMillwoodP5568???,472,21,219,0,0,0.121,0.042596349,0.444219067,0,,csv
5568AlA MilnarMilnarP5568???,390,15,107,1,0,0.203,0.037037037,0.264197531,0.002469136,1,csv
5568MackM WheatWheatC5568???,602,19,102,7,1,0.204,0.030595813,0.164251208,0.012882448,0.875,csv
5568GeorgeG MyattMyatt2B5568???,1345,156,120,72,22,0.283,0.103930713,0.079946702,0.062624917,0.765957447,csv
5568JohnJ SneedSneedRF5568???,982,132,29,68,,0.268,0.118491921,0.026032316,,,csv
5568SimonS NichollsNichollsSS5568???,1133,65,,27,,0.251,0.054257095,,,,csv
5568JohnJ PeltzPeltzCF5568???,871,45,,18,,0.224,0.049126638,,,,csv
5568GlennG McQuillenMcQuillenLF5568???,643,34,49,1,5,0.274,0.050221566,0.072378139,0.008862629,0.166666667,csv
5568DocD PowersPowersC5568???,2088,72,,23,0,0.216,0.033333333,,0.010648148,1,csv
5568JerryJ WitteWitte1B5568???,172,11,40,0,0,0.163,0.06010929,0.218579235,0,,csv
5568DannyD MurphyMurphyP5568???,130,11,29,0,0,0.177,0.078014184,0.205673759,0,,csv
5568JohnnyJ WelajWelajCF5568???,793,53,73,36,15,0.25,0.062647754,0.086288416,0.060283688,0.705882353,csv
5568CesarC CrespoCrespo2B5568???,261,28,76,11,4,0.192,0.096885813,0.262975779,0.051903114,0.733333333,csv
5568EarlE McNeelyMcNeelyCF5568???,2254,183,187,69,41,0.272,0.075092327,0.076733689,0.045137464,0.627272727,csv
5568JackJ RyanRyanC5568???,2192,85,80,32,,0.217,0.03732982,0.035133948,,,csv
5568PodgeP WeiheWeiheOF5568???,260,9,,,,0.254,0.033457249,,,,csv
5568JohnJ WehnerWehner3B5568???,804,73,136,15,7,0.249,0.083238312,0.155074116,0.025085519,0.681818182,csv
5568CharlesC SchmidtSchmidt1B5568???,1075,81,119,18,10,0.272,0.070069204,0.102941176,0.024221453,0.642857143,csv
5568BobB RushRushP5568???,807,31,298,1,0,0.173,0.03699284,0.355608592,0.001193317,1,csv
5568PaulP RungeRunge3B5568???,345,54,75,5,5,0.232,0.135338346,0.187969925,0.025062657,0.5,csv
5568DaveD WatkinsWatkinsC5568???,148,22,53,2,3,0.176,0.129411765,0.311764706,0.029411765,0.4,csv
5568MuddyM RuelRuelC5568???,4514,606,238,61,59,0.275,0.118359375,0.046484375,0.0234375,0.508333333,csv
5568BobB SpenceSpence1B5568???,183,16,47,0,0,0.202,0.08040201,0.236180905,0,,csv
5568RobertR PersonPersonP5568???,214,10,119,0,0,0.117,0.044642857,0.53125,0,,csv
5568DutchD SchliebnerSchliebner1B5568???,520,44,67,4,2,0.271,0.078014184,0.118794326,0.010638298,0.666666667,csv
5568MattyM McIntyreMcIntyreLF5568???,3958,439,,120,,0.269,0.099840801,,,,csv
5568MarioM MendozaMendozaSS5568???,1337,52,219,12,8,0.215,0.037437005,0.157667387,0.014398848,0.6,csv
5568MattM CepickyCepickyLF5568???,185,7,53,1,1,0.211,0.036458333,0.276041667,0.010416667,0.5,csv
5568LonL WarnekeWarnekeP5568???,962,52,148,1,,0.223,0.051282051,0.145956607,,,csv
5568ChadC MottolaMottolaRF5568???,125,10,28,2,2,0.2,0.074074074,0.207407407,0.02962963,0.5,csv
5568BrandonB BackeBackeP5568???,133,10,48,1,0,0.256,0.06993007,0.335664336,0.006993007,1,csv
5568VicV RoznovskyRoznovskyC5568???,455,32,83,1,1,0.218,0.065708419,0.170431211,0.004106776,0.5,csv
5568StanS RoyerRoyer3B5568???,164,4,41,0,1,0.25,0.023809524,0.244047619,0.005952381,0,csv
5568JohnJ MontefuscoMontefuscoP5568???,455,27,219,1,1,0.097,0.056016598,0.454356846,0.004149378,0.5,csv
5568ChipC AmbresAmbresCF5568???,189,23,48,4,2,0.233,0.108490566,0.226415094,0.028301887,0.666666667,csv
5568JoeJ YeagerYeager3B5568???,1853,110,,37,,0.252,0.056036679,,,,csv
5568TimT HudsonHudsonP5568???,613,26,190,0,0,0.16,0.040688576,0.297339593,0,,csv
5568RicoR RossyRossySS5568???,317,35,45,0,3,0.211,0.099431818,0.127840909,0.008522727,0,csv
5568JohnJ MunyanMunyanC5568???,589,78,39,28,,0.251,0.116941529,0.058470765,,,csv
5568BruceB OgrodowskiOgrodowskiC5568???,516,21,37,2,,0.231,0.039106145,0.068901304,,,csv
5568BillB WalkerWalkerP5568???,489,13,162,1,,0.127,0.025896414,0.322709163,,,csv
5568RoyR StaigerStaiger3B5568???,457,30,59,4,3,0.228,0.061601643,0.121149897,0.014373717,0.571428571,csv
5568JerryJ WalkerWalkerP5568???,252,7,51,1,0,0.23,0.027027027,0.196911197,0.003861004,1,csv
5568SimonS RosenthalRosenthalLF5568???,357,26,21,5,1,0.266,0.067885117,0.054830287,0.015665796,0.833333333,csv
5568MikeM MileyMileySS5568???,262,20,62,1,1,0.176,0.070921986,0.219858156,0.007092199,0.5,csv
5568KitK PellowPellowLF5568???,202,17,68,2,1,0.257,0.077625571,0.310502283,0.01369863,0.666666667,csv
5568JuliusJ MatosMatosSS5568???,242,10,45,2,1,0.244,0.03968254,0.178571429,0.011904762,0.666666667,csv
5568IkeI HamptonHamptonC5568???,135,11,38,1,0,0.207,0.075342466,0.260273973,0.006849315,1,csv
5568FredF HutchinsonHutchinsonP5568???,650,66,30,6,1,0.263,0.092178771,0.041899441,0.009776536,0.857142857,csv
5568SteveS DunningDunningP5568???,134,10,49,0,0,0.194,0.069444444,0.340277778,0,,csv
5568EddieE BasinskiBasinskiSS5568???,602,35,70,1,,0.244,0.054945055,0.10989011,,,csv
5568JerryJ CasaleCasaleP5568???,116,10,41,0,0,0.216,0.079365079,0.325396825,0,,csv
5568DaveD GiustiGiustiP5568???,412,23,99,0,0,0.187,0.052873563,0.227586207,0,,csv
5568MontyM BasgallBasgall2B5568???,512,46,51,1,0,0.215,0.082437276,0.091397849,0.001792115,1,csv
5568GeorgeG JacksonJacksonLF5568???,554,50,95,34,,0.285,0.082781457,0.157284768,,,csv
5568JimJ JacksonJacksonLF5568???,1274,107,,57,,0.235,0.077480087,,,,csv
5568JohnnyJ HudsonHudson2B5568???,1169,87,164,17,,0.242,0.069267516,0.130573248,,,csv
5568JeanJ DubucDubucP5568???,652,30,63,2,,0.23,0.04398827,0.092375367,,,csv
5568BillB EaganEagan2B5568???,382,57,59,26,,0.236,0.129840547,0.134396355,,,csv
5568JackJ BollingBolling1B5568???,342,25,14,6,,0.313,0.068119891,0.038147139,,,csv
5568CarlC HubbellHubbellP5568???,1288,33,172,1,,0.191,0.024981075,0.130204391,,,csv
5568MikeM HubbardHubbardC5568???,192,4,60,0,0,0.167,0.020408163,0.306122449,0,,csv
5568JohnJ CassidyCassidyRF5568???,2454,84,127,,,0.252,0.033096927,0.050039401,,,csv
5568PaulP EasterlingEasterlingLF5568???,200,15,44,2,2,0.275,0.069767442,0.204651163,0.018604651,0.5,csv
5568DennisD BennettBennettP5568???,277,17,125,0,1,0.166,0.057823129,0.425170068,0.003401361,0,csv
5568CharlieC EdenEdenLF5568???,935,33,26,,,0.261,0.034090909,0.026859504,,,csv
5568DukeD CarmelCarmelCF5568???,227,27,60,3,4,0.211,0.106299213,0.236220472,0.027559055,0.428571429,csv
5568CharlieC HouseholderHouseholder1B5568???,580,16,,,,0.248,0.026845638,,,,csv
5568SadieS HouckHouckSS5568???,2659,48,75,31,,0.25,0.017731806,0.027705948,,,csv
5568FrankF JohnsonJohnsonLF5568???,436,37,60,2,2,0.211,0.078224101,0.126849894,0.00845666,0.5,csv
5568DaveD AltizerAltizerSS5568???,1734,140,5,119,,0.25,0.07470651,0.00266809,,,csv
5568SpudS JohnsonJohnsonRF5568???,1324,109,70,93,,0.302,0.076064201,0.048848569,,,csv
5568BobB GlenalvinGlenalvin2B5568???,311,26,34,37,,0.283,0.077151335,0.100890208,,,csv
5568DickD EganEgan2B5568???,3080,291,191,167,4,0.249,0.086324533,0.056659745,0.050726787,0.976608187,csv
5568DwayneD HoseyHoseyCF5568???,146,15,33,12,3,0.274,0.093167702,0.204968944,0.093167702,0.8,csv
5568RedR EhretEhretP5568???,1265,57,124,15,,0.217,0.04311649,0.093797277,,,csv
5568SylS JohnsonJohnsonP5568???,702,23,214,1,0,0.181,0.031724138,0.295172414,0.00137931,1,csv
5568FrankF BonnerBonner2B5568???,949,55,22,28,,0.257,0.054780876,0.021912351,,,csv
5568MartyM HopkinsHopkins3B5568???,379,85,54,1,3,0.211,0.183189655,0.11637931,0.00862069,0.25,csv
5568KimeraK BarteeBarteeCF5568???,416,36,141,36,19,0.216,0.079646018,0.311946903,0.121681416,0.654545455,csv
5568BurtB HootonHootonP5568???,748,44,243,0,1,0.123,0.055555556,0.306818182,0.001262626,0,csv
5568BobB HooperHooperP5568???,187,3,51,0,0,0.166,0.015789474,0.268421053,0,,csv
5568VidaV BlueBlueP5568???,512,49,271,0,2,0.104,0.087344029,0.483065954,0.003565062,0,csv
