PLAYERPLAYER,AB,BB,SO,SB,CS,AVG,BBBB/(ABAB+BBBB),SOSO/(ABAB+BBBB),(SBSB+CSCS)/(ABAB+BBBB),SBSB/(SBSB+CSCS),__sheet__
71JimJ RiceRiceLF71???,8225,670,1423,58,34,0.298,0.075323215,0.159977515,0.010342889,0.630434783,csv
71RyanR HowardHoward1B71???,5707,709,1843,12,5,0.258,0.110504988,0.287250623,0.002649626,0.705882353,csv
71FrankF HowardHowardLF71???,6488,782,1460,8,9,0.273,0.107565337,0.200825309,0.002338377,0.470588235,csv
74AlbertA BelleBelleLF74???,5853,683,961,88,41,0.295,0.104498164,0.147031824,0.019736842,0.682170543,csv
75TonyA PerezPerez1B75???,9778,925,1867,49,33,0.279,0.086424367,0.174437074,0.007661403,0.597560976,csv
75OrlandoO CepedaCepeda1B75???,7927,588,1169,142,80,0.297,0.06905461,0.13728714,0.026071638,0.63963964,csv
77MattM WilliamsWilliams3B77???,7000,469,1363,53,35,0.268,0.062792877,0.182487615,0.011782032,0.602272727,csv
78NormN CashCash1B78???,6705,1043,1091,43,30,0.271,0.134615385,0.140810532,0.009421786,0.589041096,csv
78JeffJ KentKent2B78???,8498,801,1522,94,60,0.29,0.086138294,0.163673513,0.016560921,0.61038961,csv
80CarltonC FiskFiskC80???,8756,849,1386,128,58,0.269,0.088391463,0.144299844,0.019364914,0.688172043,csv
81RockyR ColavitoColavitoRF81???,6503,951,880,19,27,0.266,0.127582506,0.118057419,0.006171183,0.413043478,csv
82PaulP GoldschmidtGoldschmidt1B82???,7545,1082,1966,174,36,0.289,0.125420192,0.227889185,0.024342182,0.828571429,csv
83GilG HodgesHodges1B83???,7030,943,1137,63,31,0.273,0.118274175,0.142606296,0.011789791,0.670212766,csv
84RalphR KinerKinerLF84???,5205,1011,749,22,2,0.279,0.162644788,0.120495495,0.003861004,0.916666667,csv
84ToddT HeltonHelton1B84???,7962,1335,1175,37,29,0.316,0.143594708,0.126384855,0.007099064,0.560606061,csv
86LanceL BerkmanBerkman1B86???,6491,1201,1300,86,48,0.293,0.156136245,0.16900676,0.017420697,0.641791045,csv
87MannyM MachadoMachado3B87???,7323,656,1403,111,41,0.28,0.082215817,0.175836571,0.019050006,0.730263158,csv
88JoeJ DiMaggioDiMaggioCF88???,6821,790,369,30,9,0.325,0.103797136,0.04848246,0.005124162,0.769230769,csv
88FreddieF FreemanFreeman1B88???,8009,1059,1744,102,32,0.3,0.116784296,0.192324658,0.014777239,0.76119403,csv
90GaryG GaettiGaetti3B90???,8951,634,1602,96,65,0.255,0.066145018,0.16713615,0.016797079,0.596273292,csv
91JohnnyJ MizeMize1B91???,6443,856,524,28,1,0.312,0.117276339,0.071790656,0.003973147,0.965517241,csv
92YogiY BerraBerraC92???,7555,704,414,30,26,0.285,0.085240344,0.050127134,0.006780482,0.535714286,csv
92CarlosC LeeLeeLF92???,7983,655,984,125,47,0.285,0.075827738,0.113915258,0.019912017,0.726744186,csv
94BryceB HarperHarper1B94???,6331,1089,1629,151,52,0.281,0.146765499,0.219541779,0.027358491,0.743842365,csv
95JoeyJ VottoVotto1B95???,7252,1365,1640,80,29,0.294,0.158407799,0.190321458,0.012649414,0.733944954,csv
96AaronA JudgeJudgeRF96???,4006,784,1349,61,19,0.292,0.163674322,0.281628392,0.016701461,0.7625,csv
96GregG VaughnVaughnLF96???,6103,865,1513,121,59,0.242,0.124138921,0.217135476,0.025832377,0.672222222,csv
98LeeL MayMay1B98???,7609,487,1569,39,35,0.267,0.060153162,0.193799407,0.009140316,0.527027027,csv
98LuisL GonzalezGonzalezLF98???,9157,1155,1218,128,87,0.283,0.112005431,0.118114818,0.020849496,0.595348837,csv
100ToriiT HunterHunterCF100???,8857,661,1741,195,99,0.277,0.069447363,0.182916579,0.030888842,0.663265306,csv
101RyanR BraunBraunLF101???,6622,586,1363,216,60,0.296,0.081298557,0.18909545,0.038290788,0.782608696,csv
101EllisE BurksBurksCF101???,7232,793,1340,181,84,0.291,0.098816199,0.166978193,0.033021807,0.683018868,csv
103DickD AllenAllen1B103???,6332,894,1556,133,52,0.292,0.1237199,0.215333518,0.025601993,0.718918919,csv
103NolanN ArenadoArenado3B103???,6767,577,1084,30,23,0.282,0.078567538,0.147603486,0.007216776,0.566037736,csv
105ChiliC DavisDavisOF105???,8673,1194,1698,142,98,0.274,0.121009425,0.172088781,0.024323503,0.591666667,csv
106GeorgeG FosterFosterLF106???,7023,666,1419,51,31,0.274,0.086617245,0.184549356,0.010664586,0.62195122,csv
107Jos?J BautistaBautistaRF107???,6051,1032,1394,70,32,0.247,0.145700974,0.196809262,0.014400678,0.68627451,csv
107CurtisC GrandersonGrandersonCF107???,7236,924,1916,153,50,0.249,0.113235294,0.234803922,0.024877451,0.753694581,csv
109RonR SantoSanto3B109???,8143,1109,1343,35,41,0.277,0.119865975,0.145157804,0.00821444,0.460526316,csv
109EvanE LongoriaLongoria3B109???,7306,730,1696,58,19,0.264,0.090841215,0.211050274,0.009581882,0.753246753,csv
111JackJ ClarkClarkRF111???,6847,1262,1442,77,61,0.267,0.155629547,0.177827106,0.017018128,0.557971014,csv
112DaveD ParkerParkerRF112???,9358,683,1537,154,113,0.29,0.068021113,0.153072403,0.026590977,0.576779026,csv
112BoogB PowellPowell1B112???,6681,1001,1226,20,21,0.266,0.130304608,0.159593856,0.005337152,0.487804878,csv
112TinoT MartinezMartinez1B112???,7111,780,1069,27,20,0.271,0.098846787,0.13547079,0.005956153,0.574468085,csv
115DonD BaylorBaylorDH115???,8198,805,1069,285,120,0.26,0.08941464,0.118738198,0.044985005,0.703703704,csv
116JoeJ AdcockAdcock1B116???,6606,594,1059,20,25,0.277,0.0825,0.147083333,0.00625,0.444444444,csv
117DarrylD StrawberryStrawberryOF117???,5418,816,1352,221,99,0.259,0.130895091,0.216875201,0.051331408,0.690625,csv
117RobinsonR Can?Can?2B117???,8773,620,1214,51,38,0.301,0.066006601,0.129245183,0.009475141,0.573033708,csv
117CarlosC SantanaSantana1B117???,7796,1330,1535,65,18,0.241,0.145737453,0.168200745,0.009094894,0.78313253,csv
120MoisesM AlouAlouLF120???,7037,737,894,106,37,0.303,0.09480319,0.114998714,0.018394649,0.741258741,csv
120BobbyB BondsBondsRF120???,7043,914,1757,461,169,0.268,0.114867412,0.220811864,0.079175569,0.731746032,csv
122DerrekD LeeLee1B122???,6962,874,1622,104,48,0.281,0.111536498,0.206993364,0.019397652,0.684210526,csv
122J.D.J MartinezMartinezDH122???,6152,601,1714,26,11,0.283,0.088997483,0.25381312,0.005479046,0.702702703,csv
122HankH GreenbergGreenberg1B122???,5193,852,844,58,26,0.313,0.140942928,0.13961952,0.013895782,0.69047619,csv
122AndrewA McCutchenMcCutchenRF122???,8271,1170,1875,220,90,0.272,0.12392755,0.198601843,0.032835505,0.709677419,csv
126KyleK SchwarberSchwarberLF126???,4430,744,1485,37,19,0.231,0.143795903,0.287011983,0.010823348,0.660714286,csv
127ShawnS GreenGreenRF127???,7082,744,1315,162,52,0.283,0.095067723,0.168029645,0.027344748,0.757009346,csv
127MoM VaughnVaughn1B127???,5532,725,1429,30,18,0.293,0.115870225,0.22838421,0.007671408,0.625,csv
129JermaineJ DyeDyeRF129???,6487,597,1308,46,26,0.274,0.084274421,0.184641446,0.010163749,0.638888889,csv
